"name","crc","md5","sha1"
"Batman Forever (Japan).gb","C2FD6244","53D8596868FE081CEF40ECC02D463EA3","4FAB046D18ADDAFBC625FE4CEFEC37098747D716"
"Batman Forever (USA, Europe).gb","EF3592CC","28737A5C760938A9746FA9E1A2FCEFC6","CB76B6D3EC9903A734F70FF11195F40F13F4D83F"
"Battle Arena Toshinden (Europe) (SGB Enhanced).gb","CE34CCA4","3E986CF3598E0A690FED48AA8C7D95B1","F4CC9193CA0B98C69C966CC32E37EAE444A8D53B"
"Battle Arena Toshinden (USA) (SGB Enhanced).gb","2D0C1073","75B5F31FBACB972FC104B3E77D09003B","9C337D3F56938AA46CFC8B85C0DB4631BCBE217C"
"Battle Bull (Japan).gb","5C69E449","A58AD38354F16E3E6777E91DEDD9CE28","74ED574D2179BDF34A6E618A86BE9B3E70155370"
"Battle Bull (USA).gb","D4D1AEA2","D6D8E759C19C1BA384670F2A06B4D11B","A553B2CF2A5D223B6AC8ACA4E9FD65B65087A1F4"
"Battle Crusher (Japan) (SGB Enhanced).gb","EA4EB1A1","C2AB034CEB1DC42C96A7A9301C382D20","AE07172C69A7BDECE4392016C6A6DD253623F5F8"
"Battle Dodge Ball (Japan).gb","A99242C0","9155B3E2A243BE1703A09934B2B80724","ED63709AF2DD22D2ABAA7E99B9DD5373B6CC91C4"
"Battle of Kingdom (Japan).gb","35914DEB","F7AA9880DB8E7884618FF0DCAB6FBA85","5761F47A09F91A373BDA96840FE2560BFF1FFC97"
"Battle of Olympus, The (Europe) (En,Fr,De,Es,It).gb","CA450E93","044C71562429DA60891A93A131A0304A","C0CA1948C4BFCA795A29CE82AA5AB9215B9ED601"
"Battle Pingpong (Japan).gb","7C787BC4","F24CCB89C3FF60F54600D7B063D5A6C2","5008699F7A31A1A0722114F83E94591E99B22CC0"
"Battle Space (Japan).gb","A828FD4F","C9DC09EA6D93D5114079F58C7BBF7982","76E47AD844ABDDE9EFF09EA29A014F9A1EAE5093"
"Battle Unit Zeoth (Japan).gb","A1A1FE77","2486AC22FF1ED53B4C8FA4F2D5226749","35413F3D4B4E68F521A90C3A48D4BD2B5BF90E09"
"Battle Unit Zeoth (USA, Europe).gb","E67A92B3","023A8FD8EACAD0656B5110DA26DCDD44","EBA09C60CD60FEBA0A7A9E82597DAD080CE78D22"
"BattleCity (Japan).gb","A37A814A","E6980267D58310AF5AD57570045A95FA","5C9A6077913B344C8889241EC5F9FDAAC7F24C8B"
"Battleship (USA, Europe).gb","FEF62DA5","D4F7ADE01AF0818A79BC809CF96118BB","D3EFB4AFEBCF94B191A66797A6BAE2C90BA92C6A"
"Battletoads (Japan).gb","331CF7DE","3D57E0391C8191C105A4F015A0C103E9","666ED5D34F508C8805A67F4400FC01A1F2817E03"
"Battletoads (USA, Europe).gb","B0C3361B","6D24C94D3ACD89B4B703F7BD2A504833","BA839BEA8F76BF955E3EDF7083D2CBE780244ADD"
"Battletoads in Ragnarok's World (Europe).gb","7FFC34EA","BC76C0516129C6791E4087F93F5D3C99","1852BD23644E28109B66FA937053C689A63F7729"
"Battletoads in Ragnarok's World (USA).gb","CE316C68","4866EA7BDAA92C6986D4847209EBBD20","3DF1384E699B91689F015D7ABA65AB42410E24F5"
"Battletoads-Double Dragon (Europe).gb","7B217082","EC8DFC2600756D4FF306EEDCD03DEFD2","5A834E0DC81703906EB441555E1AA31DE22D39D6"
"Battletoads-Double Dragon (USA).gb","A727F9CD","13EC0C660B5A963A07B39ECABF0E0AB5","CE68DF4DC2D604625164430266017B237B72303D"
"Beavis and Butt-Head (USA, Europe).gb","AF1AE123","8F160AA0B2F69A019911FD57AC8C5B31","918E9CC878A61D8174918C897182604F0C27B1D9"
"Beethoven (Europe) (SGB Enhanced).gb","637E54E3","5544EFA64429127007AA3779BEAA654E","A175778FACA00F096F0BFDBAA844A38816BBEB0F"
"Beetlejuice (USA).gb","33574ECB","F6C1715B8B93356B8B8AD27F5574DC96","A8BB9681DBF0700D64A88C7D9AD0093F08087046"
"Best of the Best - Championship Karate (Europe).gb","D5C3DA1D","CD2CAAB38139F54145FC5A3CE1E01925","351446B94176360C0D9AD3CEE43166FFBD9A51FA"
"Best of the Best - Championship Karate (USA).gb","B20280E6","91F7654109AFD261DF2B27BFDCD86898","BA7D64C606CC0F654217E54A0BD5B8DDA455A060"
"Bikkuri Nekketsu Shin Kiroku! - Dokodemo Kin Medal (Japan).gb","86D11D10","40C38735C8F225CA8DE749EFCEAB6CEB","BAECEE2DFD915A41363FEF736F81853822D5DFCD"
"Bill & Ted's Excellent Game Boy Adventure (USA, Europe).gb","5E8F656A","9D94D01D3133165D4469BB27D58F0F6C","E19A7E5A5BD8FDE0F31773C22DBEBC9B4CF3824E"
"Bill Elliott's NASCAR Fast Tracks (USA).gb","71CF43CE","915D5D1C4DDEF2C39FDB0131A34B83A4","EBC2CA8B4503F0B05E00749D693462A54F2F95EB"
"Bionic Battler (USA).gb","A1E55DC2","B5A6254B1711EDFAF89830BCFFF09D38","9ECA6A5FD1E537085598E8B2903AD75FE9C0B785"
"Bionic Commando (Europe).gb","4C5B4547","290F699F6C5B5B648AAC43751DE07EA1","A8AB419B049AEF5A04800EFD6DF58E4B3C3ABBE3"
"Bionic Commando (Japan).gb","3F4D5C84","489F52A2761DCB6F01567EF5DE14CB8A","12DC5B05751214BE3CE55DA0FECAF23A41EB1881"
"Bionic Commando (USA).gb","41DBB5FB","F89A33DE3FA660A13EC29BB323EFFFA9","E0EF47568A017CCDD3DBE0DB5D7654822B4E5CE1"
"Bishoujo Senshi Sailor Moon (Japan).gb","C2763E73","7AFB675171D58105112DBACF2CED77CB","C008913A9FBB395A7A504FE65D1D29C530755CB3"
"Bishoujo Senshi Sailor Moon R (Japan).gb","EA759875","84634FB36156BB1B9E54BC62FBAF3525","959F384998C43072CA154E531917E9AAA80A694D"
"Black Bass - Lure Fishing (USA).gb","2DB3DACE","88908153A898E5D91A02206DBB03713A","D9524AC9F7788172A55CC8CEB6E199F8A12E033D"
"Blades of Steel (Europe).gb","F7BE0002","6E8166C3783D1807D0A8C3B649E583C1","D030C46BC225FC92AA431276D9AE5812A30D6007"
"Blades of Steel (USA).gb","E81C9FB9","302CAA3CEDDCCC5FBA36787B44D25DA7","82761DBF5ABE276F8E0C82F575356AED87155141"
"Blaster Master Boy (USA).gb","3B2C7118","C4868BF46A993B4C33A9A8AF5341282A","21B1E574A6F4543651E96DE65994E7B0B7A6A0F6"
"Blaster Master Jr. (Europe).gb","E9F9016F","15D9979ACE470A0ABF9C83BC1F81DABF","6A6DEAE1942E7CF048CE35D18E9540363C226727"
"Block Kuzushi GB (Japan) (SGB Enhanced).gb","54B67501","55EF8421492242C2726E355C41AEF000","7540FE9AF69D8C7D48F50C2D5FE6D3CE07421F74"
"Blodia (Japan).gb","51FF6E53","5E3005E18F030F58E8B919D35CB297D7","A3927543CA471F479BA7AAE7295788434672464E"
"Blues Brothers, The (USA, Europe).gb","ADB66EFF","CEAEDF86193A8708A8A67E0E472B57FB","9DCA8B83A5D73270319CF05396FCCA8E6027E7B0"
"Blues Brothers, The - Jukebox Adventure (Europe).gb","F1C0FB1D","3132B823343C82DACECE721452612812","2005E94222A1F0EDD30903411343F9570A91D4F3"
"Bo Jackson - Two Games in One (USA).gb","7EDB78AB","24B4F33417FC95FE6B092BCD30605CB2","CB360F44A398FF5CD3818B0E244FFDF7019D85C7"
"Boggle Plus (USA).gb","70C8C799","B3BE58AE099AB2A695CFEBE9881C7461","D6CF512F7301CCDC2D802F34FBBDE2D0BA2CF3CD"
"Bokujou Monogatari GB (Japan) (SGB Enhanced).gb","D3E2FD02","6633EA57F86C4A117F0B027DA68BDA92","60ECAFDB13213B3AC2DAA3D71431EF8A89754EDB"
"Bokujou Monogatari GB (Japan) (Rev A) (SGB Enhanced).gb","DA218E44","275DC0712E83F34252C2FCD2EAEFB72F","A1637D7BA09335631EAC1291803ADE05ADCF5FC7"
"Bokujou Monogatari GB (Japan) (GBC,SGB Enhanced) (NP).gb","0424DF85","FBD26B166EB8A61C2617B878A22C204F","551DF2021D0E433E7F07CF881C7B1D534F54F6AD"
"Bomb Jack (Europe).gb","9BD8815E","7615154DC9AFB1A7D7D2FE63B76C68E4","A2B2799E867777A5A19155ED1F2245630FC03560"
"Bomber Boy (Japan).gb","EF9595AC","FC2D9EB9479543614B6E3D0D63C359AA","A9BADDFB693F20057B17C084422D7BFAC590F2BA"
"Bomber King - Scenario 2 (Japan).gb","B8FE9077","2DD7CAC468422231AE2ABA980E4C4691","79F978B9E85C675F7B54229A14D04926348BB70F"
"Bomber Man Collection (Japan) (SGB Enhanced).gb","509A6B73","9FB9C42CF52DCFDCFBAD5E61AE1B5777","385F8FAFA53A83F8F65E1E619FE124BBF7DB4A98"
"Bomber Man GB (Japan) (SGB Enhanced).gb","94337D56","2CAD6EE6DF3402AEB8F8AB7921517779","5B989983C2F80A71DFC7CCE29395DE3E174FA848"
"Bomber Man GB 2 (Japan) (SGB Enhanced).gb","6157443B","4AB78239E79BA059D0D7AA7A629A9474","004E540E8AED59E5AEE1C88EF84975000A6EFE6C"
"Bomber Man GB 3 (Japan) (SGB Enhanced).gb","F658B7A7","3ADDAB2611566AB072FC996F8A81B224","98A6327639833E1A6696E4ACC5CA162388D5F6E1"
"Bomberman GB (USA, Europe) (SGB Enhanced).gb","F372D175","7E4C9C3620BEA7B633394BEB67E9680B","F7058F31DDAEC63F3B9C45EE9CAF3C8E2CAE1CA8"
"Bonk's Adventure (USA).gb","A7CDBB96","79D6E6515905EC3FBCBD9E50FF469000","E27D941AF0A006C4F5FFD03914265146AA140E2C"
